designation,material,thickness_mm,qty,width_mm,height_mm,area_mm2,cut_length_mm,holes,hole_diams,min_hole_edge_mm,checks,_rel
КВЗ.ВКРН-5-ДВ.02.00.00.004,Ст3,2.0,8,300.0,131.52,0.0,1266.6,4,4.9,3.55,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№6,3/КВЗ.ВКРН-6,3-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.004 Боковина Ст3 8шт.dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.002,Ст3,2.0,4,443.05,173.18,0.0,1763.2,8,4.9,8.05,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№6,3/КВЗ.ВКРН-6,3-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.002 Основа Ст3 4шт..dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.005,Ст3,2.0,4,456.05,361.4,0.0,2071.2,10,4.0 4.9,8.5,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№6,3/КВЗ.ВКРН-6,3-ДВ.02.00.00.000 Вентеляційни карман/DXF/2ммКВЗ.ВКРН-5-ДВ.02.00.00.005 рама Ст3 4 шт.dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.001,Ст3,2.0,8,369.8,263.99,0.0,1935.2,5,4.0 4.9,7.55,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.001 Боковина Ст3 8шт.dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.004,Ст3,2.0,8,300.0,131.52,0.0,1266.6,4,4.9,3.55,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.004 Боковина Ст3 8шт.dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.002,Ст3,2.0,4,443.05,173.18,0.0,1763.2,8,4.9,8.05,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.02.00.00.000 Вентеляційни карман/DXF/2мм КВЗ.ВКРН-5-ДВ.02.00.00.002 Основа Ст3 4шт..dxf"
КВЗ.ВКРН-5-ДВ.02.00.00.005,Ст3,2.0,4,456.05,361.4,0.0,2071.2,10,4.0 4.9,8.5,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.02.00.00.000 Вентеляційни карман/DXF/2ммКВЗ.ВКРН-5-ДВ.02.00.00.005 рама Ст3 4 шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.002,Ст3,2.0,2,570.0,372.16,0.0,2351.0,17,4.9 5.9 14.5,5.93,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.002 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.001,Ст3,2.0,2,758.67,391.8,14519.8,2459.9,7,5.9 14.5,5.93,OPEN_CONTOUR:1 незамкнутых контура(ов),"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.001 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН,Ст3,2.0,1,427.52,427.52,0.0,2328.6,12,4.9,9.42,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/PDF/2мм КВЗ.ВКРН(-В)-5-ДУ.05.003 Кришка Ст3 1Шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.002,Ст3,2.0,2,570.0,372.16,0.0,2351.0,17,4.9 5.9 14.5,5.93,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.002 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН-5-ДВ.05.00.00.001,Ст3,2.0,2,758.67,391.8,14519.8,2459.9,7,5.9 14.5,5.93,OPEN_CONTOUR:1 незамкнутых контура(ов),"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН-5-ДВ.05.00.00.001 Ребро Ст3 2Шт.dxf"
КВЗ.ВКРН,Ст3,2.0,1,427.52,427.52,0.0,2328.6,12,4.9,9.42,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.05.00.00.000 Кришка мотора/DXF/2мм КВЗ.ВКРН(-В)-5-ДУ.05.003 Кришка Ст3 1Шт.dxf"
КВЗ.ВКРН-5-ДВ.03.00.00.003,Ст3,2.0,4,590.22,257.79,0.0,1992.0,4,8.2 11.0,60.12,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.03.00.00.000 Рама/DXF/2мм КВЗ.ВКРН-5-ДВ.03.00.00.003 Бокова пластина Ст3 4шт.dxf"
КВЗ.ВКРН-5-ДВ.03.00.00.001,Ст3,4.0,1,766.1,766.1,0.0,6484.5,21,8.2 13.0 505.0,41.58,OK,"вкрн каталог/ВКРН (-В)- ДУ/ВКРН (-В)- ДУ 2/№5,6/КВЗ.ВКРН-5,6-ДВ.03.00.00.000 Рама/DXF/4мм КВЗ.ВКРН-5-ДВ.03.00.00.001 Основа Ст3 1шт.dxf"
